_id,date,keyword,real_name,service,gender,text,sentiment_val
63e2297471027138bc75bd00,2/8/2023 0:30,6418,farrel.,twitter,male,kenapa semua avanza silver anjing banget nyetirnya kalo di jalan,negative
63f5920471027138bc194247,2/15/2023 20:18,7840,Gadget Corner,twitter,n/a,CNNIndonesia bukti kalau produk toyota itu ga ada mutunyalawan brio yang ga seberapa aja bisa ringsek ke gitu. mirip kasus boil vs tiang listrik,negative
63f265a571027138bc776eaf,2/15/2023 23:44,7818,axel_toyotabintaro,instagram,male,"KronologiAwalnya pengendara Fortuner melawan arah di kawasan Office , Senopati. Saat pengendara Fortuner tersebut melawan arah, terdapat pengendara Brio di jalan yang sama. Pengendara Brio tersebut memberikan peringatan dengan menyalakan lampu dim sebanyak empat kali. Hal ini membuat pengendara Fortuner emosi dan justru mengejar mobil Brio tersebut. Pengemudi Fortuner ini juga mengarahkan soft gun ke pengendara Brio.Tetap berhatihati dan patuhi peraturan lalu lintas ya teman Tunas Drive safetoyota toyotajakarta toyotadepok toyotabekasi toyotabogor toyotajakartaselatan toyotabintaro kredittoyota promotoyota tunastoyota toyotaindonesia belajarsamatoyota fortuner brio toyota",negative
63f2b68571027138bc9747c4,2/15/2023 13:30,7818,Liputan 6,news,,"Liputan.com, Jakarta Media sosial masih dihebohkan dengan aksi arogan dari pengemudi mobil Fortuner di jalanan. Pengemudi mobil tersebut melakukan aksi brutal terhadap pengemudi mobil Brio berwarna kuning.Dalam unggahan video yang beredar di Twitter, terlihat mobil Fortuner menabrak mobil Brio. Peristiwa yang terjadi pada malam hari, Minggu, Februari di kawasan Jakarta Selatan.BACA JUGA Perkembangan Terkini Kasus Pengendara Fortuner Tabrak Brio di Jaksel BACA JUGA Diplomat Jawab Kasus Viral Giorgio Ramadhan, Sopir Fortuner Arogan di Daftar Musuh Ukraina BACA JUGA Sopir Fortuner Giorgio Ramadhan yang Rusak Mobil Brio Dirujak WarganetPengemudi Fortuner tersebut kini sudah ditahan oleh pihak kepolisian dan menungg proses penyelidikan selanjutnya. Namun yang tak kalah ramai dibahas di media sosial adalah tingkat kerusakan Fortuner dan Brio.Baca JugaMomen Pangeran William dan Kate Middleton Siaran di Radio Bahas Kesehatan Mental Lirik Lagu Evaluasi Hindia Susul Kate Middleton dan Pangeran William, Meghan Markle dan Harry Pamer Potret Anyar Usai Pemakaman Ratu Elizabeth IIBanyak dari mereka merasa heran karena Fortuner ini terlihat mengalami kerusakan di bagian depan cukup parah dari Brio.Fortuner mengalami kerusakan pada bagian kap mesin yang terangkat dengan kondisi penyok dan bumper tampak nyaris lepas.Sementara Brio kuning yang sengaja dihantam oleh Fortuner terlihati hanya mengalami penyok pada sisi sebelah kanan. Tak ada kerusakan lain pada Brio kecuali efek pengrusakan yang menggunakan senjata semacam pedang pada sisi kaca dan kap mesin oleh pengemudi Fortuner bernama Giorgio Ramadhan tersebut.Kedua mobil tersebut sempat diperlihatkan polisi di Polres Jakarta Selatan dan fotofotonya banyak beredar di media sosial, termasuk di Twitter. Saat itu Fortuner dan Brio telah diamankan sebagai barang bukti.Banyak warganet menilai Fortuner ini mengalami kecelakaan usai meninggalkan lokasi pasca menabrak Brio dengan sengaja. Kayaknya abis nabrak Brio, terus nabrak tiang. Masa iya ada luka begitu di kap mesin abis nabrak Brio, tulis seorang warganet bernama Ridwan dalam cuitan di akun Twitternya, Selasa, Februari .Aksi koboi GR di Senopati, Jakarta Selatan membuatnya ditahan. GR yang mengendarai Fortuner menembak, memukul dan menabrak Brio kuning. Pada pemeriksaan awal, GR tak langsung ditahan dan dipulangkan. Fakta atau Hoaks Untuk mengetahui kebenaran informasi yang beredar, silakan WhatsApp ke nomor Cek Fakta Liputan.com  hanya dengan ketik kata kunci yang diinginkan. dari halamanaRidwan juga mempertanyakan sisi kerusakan Fortuner yaitu bagian kanan mengalami ringsek. Padahal dalam video yang beredar di media sosial memperlihatkan Fortuner ini menabrak Brio menggunakan sebagian sisi depan sebelah kiri.Sejumlah akun lain juga mempertanyakan sisi kerusakan mobil yang dinilai berbeda. Sisi kiri Fortuner yang menabrak, eh sisi kanan Fortuner bahkan sampai ke kapnya ikutan kusut ikut rusak , tulis akun hipohan.Karena ga tau dia nabrak apaan lagi.. brio penyok kanan, fortuner nabrak bagian kiri.. tapi yg dikasih liat ringsek sebelah kanan Klo crumpled zone sih bukan yg beginian, biasa tabrakan lebih keras lagi baru dia crumpled terus steering column patah kebawah., cuit akun LiongkyTan.Sementara itu, tim kuasa hukum pengendara Fortuner Hitam, Revi Laracaka, menyebut kliennya, Giorgio Ramadhan atau GR sudah kooperatif terhadap proses hukum di Polres Jakarta Selatan Polres Jaksel.Klien kami sejak Minggu Febuari , sudah koperatif datang ke Polres Jakarta Selatan. Ketika mendapatkan informasi dari Twitter pengendara Brio AW, menuju Polres Jakarta Selatan untuk membuat Laporan Polisi, ujar Revi dalam keterangannya, Senin Februari .Advertisement dari halamanaPolisi pun menetapkan Giorgio Ramadhan sebagai tersangka. Giorgio juga langsung ditahan di Mapolres Metro Jakarta Selatan mulai Senin malam Februari .Giorgio Ramadhan dijerat dengan Pasal KUHP terkait perusakan dan Pasal KUHP tentang ancaman kekerasan.Berdasarkan penerapan kedua pasal ini, dengan didasari dua alat bukti kemudian melakukan penahanan tersangka GR untuk selanjutnya proses tahap penyelidikan lebih lanjut, ucap Kapolres Metro Jakarta Selatan Kombes Ade Ary Syam Indradi di kantornya, Senin Februari , melansir kanal News Liputan.com.Ade Ary memastikan Giorgio tidak dalam pengaruh minuman alkohol saat terlibat keributan dengan pengendara mobil Brio. Kepada penyidik, GR mengungkap motif perusakan karena tersulut emosi semata. Mereka berdua sebelumnya memang terlibat selisih paham di jalanan.Berdasarkan keterangan tersangka, ini kami sudah dengar juga karena emosi, selisih paham di jalan tadi, kata Ade Ary.Polisi sudah menyita barang bukti berupa airsoft gun mainan dan pedang anggar dari tangan Pengemudi Toyota Fortuner, GR. Asalusulnya kini sedang ditelusuri.Ade Ary Syam menerangkan, telah memeriksa GR atas kasus perusakan mobil. Kepada penyidik, tersangka mengaku membeli airsoft gun mainan via online.Ade Ary mengatakan, GR turut memberikan bukti pembelian airsoft gun mainan kepada penyidik. dari halamanaBerdasarkan hasil keterangan GR Kalau ini pistol dibeli dari toko online tanggal Desember, dan dia menunjukkan bon pembelian harganya Rp sekian ribu, ungkap Ade Ary dalam keterangannya, Selasa . Sedangkan, pedang anggar didapat dari temannya. GR saat itu menitip kepada temannya yang berada di luar negeri.Menurut Ade Ary, barangbarang yang diamankan pasti diteliti lebih lanjut. Pihaknya akan memeriksa secara laboratoris, baik senjata airsoftgun mainan maupun pedang anggar.Tetep kami dalami, barang bukti yang kami amankan ini, ujar dia.Di sisi lain, pengacara GR tetap mengupayakan agar kliennya dapat menempuh jalur damai dengan korbannya. Iya ingin tempuh jalur restorative justice, ujar pengacara Giorgio Ramadhan, Arif Fadillah, Jakarta, Selasa .Menurut dia, kliennya telah menunjukkan sikap kooperatif. Giorgio sudah meminta maaf kepada korban pada saat pemeriksaan pertama di Polres Jakarta Selatan, pada Minggu Februari lalu. Kita mendorong untuk segi terlapor bersikap kooperatif, kata Arif. BACA BERITA TERKINI LAINNYA DI GOOGLE NEWSBunga Plum yang Bermekaran Warnai Nanjing ChinaAdvertisement",negative
63f593ab71027138bc1f78b6,2/15/2023 16:08,7840,CNNindonesia,news,,"Netizen gelenggeleng melihat kondisi Toyota Fortuner yang dikemudikan Giorgio Ramadhan usai insiden dengan Honda Brio. Dalam video viral di media sosial terlihat sisi kiri bumper depan Fortuner yang menabrak tetapi saat kondisi mobil diperlihatkan kepolisian bagian kanan yang ringsek parah.Fortuner itu tampak rusak di bagian kap mesin yang terangkat dan ada sejumlah penyok, lalu terlihat juga bagian grill berubah posisi dan bumper nyaris lepas. Sebagian besar kerusakan ini dominan di area depan sebelah kanan.Sementara itu Brio warna kuning yang diseruduk mengalami penyok di area kanan bodi. Kerusakan juga tampak akibat pengerusakan menggunakan pedang yang dilakukan Giorgio pada kaca depan dan kap mesin.Kondisi kedua mobil setelah insiden sudah diperlihatkan kepolisian di Polres Jakarta Selatan sebagai barang bukti.Salah satu netizen di Twitter mengungkap kondisi kerusakan Fortuner mengherankan, dia berasumsi lukanya seperti habis menabrak tiang.GambasTwitterNetizen lain juga mempertanyakan kerusakan Fortuner yang dinilai beda sisi.Giorgio sudah ditetapkan sebagai tersangka dalam kasus ini. Senjata yang digunakan saat pengerusakan disebut polisi mainan yang dibeli secara online.Status Fortuner yang digunakan Giorgio dengan pelat nomor B SJD diblokir oleh kepolisian karena pernah melanggar aturan dan terekam ETLE. Mobil ini merupakan varian . Diesel VRZ X dengan nilai jual Rp juta.",negative
63ed108d71027138bcf4cd00,2/16/2023 4:00,3674,kumparan,youtube,n/a,"Toyota Fortuner Lebih Ringsek Lawan Honda Brio, Kok Bisa Usai aksi perusakan mobil Honda Brio di Senopati, Jakarta Selatan, Toyota Fortuner mengalami kerusakan yang lebih parah dibandingkan dengan Honda Brio. Timbul pertanyaan soal kondisi dari mobil Toyota Fortuner yang lebih ringsek dibandingkan kondisi mobil Honda Brio happening update otomotif shortsnewsHomepage httpskumparan.comTwitter httpstwitter.comkumparanFacebook httpswww.facebook.comkumparancomInstagram httpswww.instagram.comkumparancom",negative
6558e9c47be0446d938b554e,2/15/2023 15:03,8790,ayoc,twitter,n/a,"Wkwkw iyaa juga.. jadi keinget mobilku Grand Livina, nabrak Toyota Sienta, mobilku cuma penyok dibagian plat nya doang, sienta nya hancuurr",negative
63ecc78f71027138bc9f722a,2/16/2023 1:44,5837,ahmad kadafi,twitter,male,"CNNIndonesia Kayanya fortuner ini lahan untuk sandiwara, dulu nabrak tiang listrik, skr ini, hahaha",negative
6558e9ee7be0446d938c07f4,2/15/2023 5:06,8790,harjanto mas3,twitter,male,CNNIndonesia wakakakaka....mobil mahal koyo kerupuk...tolong pihak TOYOTA turun investigasi ada yg aneh dng penyoknya,negative
63ed02cd71027138bcb1cd00,2/16/2023 6:04,5837,F A M,twitter,n/a,"detikcom TAMPANGNYA DONGON GITU PADAHAL YG NAIK FORTUNER, TAMPANG DONGO KELAKUAN GOBLOK",negative
